location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,8.52,µg/m³,21.152875,79.0517531,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Solapur, Solapur - MPCB",Solapur,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,12.68,µg/m³,17.6599188,75.9063906,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Ghusuri, Howrah - WBPCB",Howrah,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,27.06,µg/m³,22.611968,88.347422,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Golden Temple, Amritsar - PPCB",Amritsar,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,5.83,µg/m³,31.62,74.876512,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"RIMT University, Mandi Gobindgarh - PPCB",Mandi Gobindgarh,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,3.3,µg/m³,30.649961,76.331442,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"More Chowk Waluj, Aurangabad - MPCB",Aurangabad,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,8.94,µg/m³,19.8389439,75.244448,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Collectorate, Jodhpur - RSPCB",Jodhpur,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,5.4,µg/m³,26.268249,73.0193853,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Peenya, Bengaluru - CPCB",Bengaluru,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,13.31,µg/m³,13.0270199,77.494094,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"R K Puram, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,21.4,µg/m³,28.563262,77.186937,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Punjabi Bagh, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,10.1,µg/m³,28.674045,77.131023,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Mandir Marg, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,6,µg/m³,28.636429,77.201067,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Shadipur, Delhi - CPCB",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,22.8,µg/m³,28.6514781,77.1473105,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"DTU, Delhi - CPCB",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,6.6,µg/m³,28.7500499,77.1112615,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sector-D Industrial Area, Mandideep - MPPCB",Mandideep,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,17.1,µg/m³,23.10844,77.511428,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Mahakaleshwar Temple, Ujjain - MPPCB",Ujjain,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,3.3,µg/m³,23.182719,75.768218,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
