location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Powai, Mumbai - MPCB",Mumbai,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,83.47,µg/m³,19.1375,72.915056,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jadavpur, Kolkata - WBPCB",Kolkata,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,49.1,µg/m³,22.49929,88.36917,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,113,µg/m³,19.10078,72.87462,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Nerul, Navi Mumbai - MPCB",Navi Mumbai,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,111.92,µg/m³,19.008751,73.01662,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Kurla, Mumbai - MPCB",Mumbai,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,111,µg/m³,19.0863,72.8888,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Vasai West, Mumbai - MPCB",Mumbai,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,106,µg/m³,19.3832,72.8204,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rishi Nagar, Kaithal - HSPCB",Kaithal,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,96.4,µg/m³,29.8006,76.4155,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Police Lines, Jind - HSPCB",Jind,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,159.6,µg/m³,29.307814,76.337619,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,248.91,µg/m³,28.3419248,77.319699,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Huda Sector, Fatehabad - HSPCB",Fatehabad ,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,0,µg/m³,29.503664,75.467934,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Shastri Nagar, Narnaul - HSPCB",Narnaul,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,133.5,µg/m³,28.060249,76.113115,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"F-Block, Sirsa - HSPCB",Sirsa ,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,63.3,µg/m³,29.5364,75.0158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Patti Mehar, Ambala - HSPCB",Ambala ,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,132.6,µg/m³,30.379589,76.778328,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sector-18, Panipat - HSPCB",Panipat,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,195.3,µg/m³,29.497973,76.993331,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,31,µg/m³,13.428828,77.731418,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,38,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
